ROW,PROJECT,DATE (DD-MMM-YYYY),DAY,MONTH,YEAR,SITE,REP,NO3N(mg/L)
81,LTREB,11/10/2020,10,11,2020,9am,b,0.108
82,LTREB,11/10/2020,10,11,2020,9am,c,0.122
83,LTREB,11/10/2020,10,11,2020,10,a,0.115
84,LTREB,11/10/2020,10,11,2020,10,b,0.089
85,LTREB,11/10/2020,10,11,2020,10,c,0.111
86,LTREB,11/10/2020,10,11,2020,11,a,0.054
87,LTREB,11/10/2020,10,11,2020,11,b,0.086
88,LTREB,11/10/2020,10,11,2020,11,c,0.093
89,LTREB,11/10/2020,10,11,2020,11af,a,0.008
90,LTREB,11/10/2020,10,11,2020,11af,b,0.005
91,LTREB,11/10/2020,10,11,2020,11af,c,0.003
92,LTREB,11/10/2020,10,11,2020,12,a,0.059
93,LTREB,11/10/2020,10,11,2020,12,b,0.058
94,LTREB,11/10/2020,10,11,2020,12,c,0.039
95,LTREB,11/10/2020,10,11,2020,13,a,0.018
96,LTREB,11/10/2020,10,11,2020,13,b,0.023
97,LTREB,11/10/2020,10,11,2020,13,c,0.024
98,LTREB,12/7/2020,7,12,2020,Blank,a,0.000
99,LTREB,12/7/2020,7,12,2020,1,a,0.095
100,LTREB,12/7/2020,7,12,2020,1,b,0.101
101,LTREB,12/7/2020,7,12,2020,1,c,0.075
102,LTREB,12/7/2020,7,12,2020,2,a,0.066
103,LTREB,12/7/2020,7,12,2020,2,b,0.090
104,LTREB,12/7/2020,7,12,2020,2,c,0.075
105,LTREB,12/7/2020,7,12,2020,3,a,0.201
106,LTREB,12/7/2020,7,12,2020,3,b,0.169
107,LTREB,12/7/2020,7,12,2020,3,c,0.131
108,LTREB,12/7/2020,7,12,2020,4,a,0.184
109,LTREB,12/7/2020,7,12,2020,4,b,0.190
110,LTREB,12/7/2020,7,12,2020,4,c,0.174
111,LTREB,12/7/2020,7,12,2020,5,a,0.141
112,LTREB,12/7/2020,7,12,2020,5,b,0.158
113,LTREB,12/7/2020,7,12,2020,5,c,0.222
114,LTREB,12/7/2020,7,12,2020,6,a,0.264
115,LTREB,12/7/2020,7,12,2020,6,b,0.285
116,LTREB,12/7/2020,7,12,2020,6,c,0.233
117,LTREB,12/7/2020,7,12,2020,7,a,0.233
118,LTREB,12/7/2020,7,12,2020,7,b,0.232
119,LTREB,12/7/2020,7,12,2020,7,c,0.280
120,LTREB,12/7/2020,7,12,2020,8,a,0.276
121,LTREB,12/7/2020,7,12,2020,8,b,0.305
122,LTREB,12/7/2020,7,12,2020,8,c,0.199
123,LTREB,12/7/2020,7,12,2020,8ad,a,0.009
124,LTREB,12/7/2020,7,12,2020,8ad,b,0.010
125,LTREB,12/7/2020,7,12,2020,8ad,c,0.009
126,LTREB,12/7/2020,7,12,2020,9,a,0.140
127,LTREB,12/7/2020,7,12,2020,9,b,0.126
128,LTREB,12/7/2020,7,12,2020,9,c,0.170
129,LTREB,12/7/2020,7,12,2020,9am,a,0.121
130,LTREB,12/7/2020,7,12,2020,9am,b,0.147
131,LTREB,12/7/2020,7,12,2020,9am,c,0.146
132,LTREB,12/7/2020,7,12,2020,10,a,0.120
133,LTREB,12/7/2020,7,12,2020,10,b,0.116
134,LTREB,12/7/2020,7,12,2020,10,c,0.111
135,LTREB,12/7/2020,7,12,2020,11,a,0.080
136,LTREB,12/7/2020,7,12,2020,11,b,0.078
137,LTREB,12/7/2020,7,12,2020,11,c,0.072
138,LTREB,12/7/2020,7,12,2020,11af,a,0.013
139,LTREB,12/7/2020,7,12,2020,11af,b,0.012
140,LTREB,12/7/2020,7,12,2020,11af,c,0.012
141,LTREB,12/7/2020,7,12,2020,12,a,0.046
142,LTREB,12/7/2020,7,12,2020,12,b,0.050
143,LTREB,12/7/2020,7,12,2020,12,c,0.048
144,LTREB,12/7/2020,7,12,2020,13,a,0.021
145,LTREB,12/7/2020,7,12,2020,13,b,0.023
146,LTREB,12/7/2020,7,12,2020,13,c,0.022
